input_text	target_text
Severe untreated arterial hypertension at rest (200mmHg systolic, 120mmHg grievous diastolic)	Severe untreated grievous arterial hypertension at rest (200mmHg systolic, 120mmHg diastolic)
Tachyarrythmias or bradyarrythmias	Tachyarrythmias or bradyarrythmias
High auriculoventricular degree atrioventricular block	High degree high school atrioventricular block
Hypertrophic myocardiopathy cardiomyopathy	myocardiopathy Hypertrophic cardiomyopathy
pulmonic Significant pulmonary hypertension	Significant pulmonic pulmonary hypertension
Advanced pregnancy or complicated pregnancies	Advanced elaborate or complicated pregnancies
Electrolyte abnormalcy abnormalities	Electrolyte electrolyte abnormalities
Orthopedic impairment that prevents orthopaedic walking	Orthopedic impairment that deterioration prevents walking
Thrombosis take down of lower extremities	none None of the above
In the presence of pre-existing heart disease such as congestive heart failure, prior myocardial infarction (MI), angina, coronary artery disease, or dysrhythmias;	Presence of pre-existing heart disease such as congestive heart failure, prior myocardial infarction (MI), angina, coronary artery disease, or dysrhythmias.
In the presence of known comorbid conditions that may affect the heart, such as chronic pulmonary disease, peripheral vascular disease, diabetes, or renal impairment; or	Presence of known comorbid conditions that may affect the heart, such as chronic pulmonary disease, peripheral vascular disease, diabetes, or renal impairment.
When the pending surgery requires a general or regional anesthetic.	The pending surgery requires a general or regional anesthetic.
Chest pain or angina pectoris,	Chest pain or angina pectoris
Myocardial ischemia or infarction,	Myocardial ischemia or infarction
Arteriovascular disease including coronary, central, and peripheral disease,	Arteriovascular disease including coronary, central, and peripheral disease
Hypertension,	Hypertension
Conduction abnormalities,	Conduction abnormalities
Cardiac rhythm disturbances,	Cardiac rhythm disturbances
Cardiac hypertrophy,	Cardiac hypertrophy
Heart failure,	Heart failure
Pericarditis,	Pericarditis
Structural cardiac conditions,	Structural cardiac conditions
Endocrine abnormalities,	Endocrine abnormalities
Neurological disorders affecting the heart,	Neurological disorders affecting the heart
Syncope,	Syncope
Paroxysmal weakness,	Paroxysmal weakness
Palpitations,	Palpitations
Sudden lightheadedness,	Sudden lightheadedness
Electrolyte imbalance,	Electrolyte imbalance
Acid-base disorders,	Acid-base disorders
Temperature disorders,	Temperature disorders
Pulmonary disorders, and	Pulmonary disorders
Drug cardiotoxicity.	Drug cardiotoxicity
Radiographic or clinical grounds of imbalance due to any 1 of the following:	Radiographic or clinical evidence of instability due to any ace of the pursual:
Symptomatic spinal deformity (in the absence of unbalance surgery neural compression) which meet the following touchstone:	Symptomatic spinal deformity (in the absence of instability or neuronal concretion) which meet the next measure:
Revisal or for pseudarthrosis following an initial spine surgical procedure if the undermentioned conditions make up all met.	Revision operating theater for pseudarthrosis following an initial prickle surgery if the undermentioned condition are all met:
Symptomatic compression of neural elements for which disc deracination personify necessary for decompression. The record moldiness ponder disc compression of neural elements for each level fused found on this reading.	Symptomatic compression of neural element for which disc excision is necessary for decompressing. The track record must reflect disc compression of neural element for each level blend free base on this indication.
Sagittal operating theater coronal imbalance by at least 5 centimeter as measured on radiographic mental imagery of the integral spine	None of the above
Spying or surveillance of colon polyp (s) OR	Sleuthing or surveillance of colon polypus (s )
Symptomatic procedure when ANY of the following criteria be meet (3 ):	Symptomatic subroutine when ANY of the following criteria are meet:
Junior grade procedure after an uncomplete symptomatic optical colonoscopy (OC) with adequate preparation, and a complete evaluation of the colon was not technically possible (i, deuce) when EITHER of the following measure follow met	None of the above
Surveillance of el salvadoran colon polyp (southward) in previously diagnosed patients beaver state	Surveillance of aspinwall polypus (s) in antecedently diagnosed patient role.
Diagnostic function when ANY of the following touchstone are met (tercet ):	Diagnostic procedure when ANY of the undermentioned standard are met:
Junior grade procedure after an uncomplete symptomatic optical colonoscopy (OC) with adequate preparation, and a complete evaluation of the colon was not technically possible (i, deuce) when EITHER of the following measure follow met	None of the above
acute accent myocardial myocardial infarction myocardial infarction (3-5 weeks)	acute accent myocardial myocardial infarction myocardial infarction (3-5 weeks)
instable angina pectoris	instable angina pectoris
uncontrollable tachycardia causing nausea or microvascular reconciliation	uncontrollable tachycardia causing nausea or microvascular reconciliation
orthostatic hypotension	orthostatic hypotension
active agent pericarditis	active agent pericarditis
acute accent myocarditis or myocarditis	acute accent myocarditis or myocarditis
asymptomatic serious aortic arch aortic stenosis	asymptomatic serious aortic arch aortic stenosis
uncontrollable mind fault	uncontrollable mind fault
